
> ai-recruitment-saas-frontend@0.1.0 dev
> next dev --hostname 0.0.0.0

▲ Next.js 16.2.6 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://0.0.0.0:3000
- Environments: .env.local
✓ Ready in 1984ms

○ Compiling / ...
 GET /login?callbackUrl=%2Fdashboard%2Fpipeline 200 in 1352ms (next.js: 690ms, proxy.ts: 33ms, application-code: 629ms)
 GET /login?callbackUrl=%2Fdashboard 200 in 684ms (next.js: 240ms, proxy.ts: 18ms, application-code: 426ms)
 GET /login?callbackUrl=%2Fdashboard%2Fpipeline 200 in 486ms (next.js: 237ms, proxy.ts: 20ms, application-code: 229ms)
✓ Compiled in 915ms
 GET /login?callbackUrl=%2Fdashboard%2Fpipeline 200 in 1734ms (next.js: 487ms, proxy.ts: 119ms, application-code: 1129ms)
 GET /login?callbackUrl=%2Fdashboard 200 in 1750ms (next.js: 796ms, proxy.ts: 107ms, application-code: 846ms)
 GET /login?callbackUrl=%2Fdashboard%2Fpipeline 200 in 713ms (next.js: 166ms, proxy.ts: 120ms, application-code: 427ms)
 GET /login?callbackUrl=%2Fdashboard 200 in 661ms (next.js: 369ms, proxy.ts: 68ms, application-code: 224ms)
✓ Compiled in 493ms
 GET /login?callbackUrl=%2Fdashboard 200 in 387ms (next.js: 13ms, proxy.ts: 8ms, application-code: 365ms)
 GET /login?callbackUrl=%2Fdashboard%2Fpipeline 200 in 399ms (next.js: 72ms, proxy.ts: 8ms, application-code: 319ms)
 GET /login?callbackUrl=%2Fdashboard%2Fpipeline 200 in 665ms (next.js: 27ms, proxy.ts: 10ms, application-code: 628ms)
 GET / 200 in 347ms (next.js: 50ms, proxy.ts: 10ms, application-code: 287ms)
 GET /login 200 in 546ms (next.js: 66ms, proxy.ts: 15ms, application-code: 466ms)
 GET /login?callbackUrl=%2Fdashboard 200 in 708ms (next.js: 215ms, proxy.ts: 13ms, application-code: 479ms)
 GET /login?callbackUrl=%2Fdashboard 200 in 760ms (next.js: 317ms, proxy.ts: 24ms, application-code: 419ms)
 GET /login?callbackUrl=%2Fdashboard%2Fjobs 200 in 757ms (next.js: 387ms, proxy.ts: 16ms, application-code: 354ms)
 GET /login?callbackUrl=%2Fdashboard%2Fpipeline 200 in 680ms (next.js: 416ms, proxy.ts: 91ms, application-code: 173ms)
 GET /login?callbackUrl=%2Fdashboard%2Fpipeline 200 in 337ms (next.js: 20ms, proxy.ts: 11ms, application-code: 306ms)
 GET /dashboard/pipeline 200 in 1757ms (next.js: 817ms, proxy.ts: 19ms, application-code: 920ms)
 GET /dashboard/applications/ab67a4ed-1331-44c4-b283-dde1a585dd46 200 in 653ms (next.js: 272ms, proxy.ts: 9ms, application-code: 372ms)
 GET /dashboard/applications/2646add9-a376-4381-b957-1c441fec890d 200 in 118ms (next.js: 29ms, proxy.ts: 6ms, application-code: 82ms)
 GET /dashboard/applications/2646add9-a376-4381-b957-1c441fec890d 200 in 115ms (next.js: 35ms, proxy.ts: 8ms, application-code: 72ms)
 GET /dashboard/applications/ab67a4ed-1331-44c4-b283-dde1a585dd46 200 in 234ms (next.js: 44ms, proxy.ts: 7ms, application-code: 184ms)
 GET /dashboard/applications/ab67a4ed-1331-44c4-b283-dde1a585dd46 200 in 121ms (next.js: 35ms, proxy.ts: 7ms, application-code: 79ms)
 GET /dashboard/applications/2646add9-a376-4381-b957-1c441fec890d 200 in 168ms (next.js: 33ms, proxy.ts: 14ms, application-code: 122ms)
 GET /dashboard/applications/2646add9-a376-4381-b957-1c441fec890d 200 in 133ms (next.js: 36ms, proxy.ts: 7ms, application-code: 90ms)
 GET /dashboard/applications/ab67a4ed-1331-44c4-b283-dde1a585dd46 200 in 110ms (next.js: 36ms, proxy.ts: 7ms, application-code: 67ms)
 GET /dashboard/jobs 200 in 889ms (next.js: 748ms, proxy.ts: 7ms, application-code: 134ms)
 GET /dashboard/applications 200 in 163ms (next.js: 37ms, proxy.ts: 9ms, application-code: 117ms)
 GET /dashboard/pipeline 200 in 69ms (next.js: 15ms, proxy.ts: 7ms, application-code: 47ms)
 GET /dashboard/applications/2646add9-a376-4381-b957-1c441fec890d 200 in 100ms (next.js: 29ms, proxy.ts: 7ms, application-code: 65ms)
 GET /dashboard/jobs 200 in 61ms (next.js: 10ms, proxy.ts: 6ms, application-code: 45ms)
✓ Compiled in 998ms
 GET /login?callbackUrl=%2Fdashboard%2Fpipeline 200 in 2.6s (next.js: 558ms, proxy.ts: 411ms, application-code: 1591ms)
 GET /dashboard/jobs 200 in 2.6s (next.js: 1284ms, proxy.ts: 448ms, application-code: 894ms)
✓ Compiled in 628ms
 GET /dashboard/applications 200 in 689ms (next.js: 379ms, proxy.ts: 22ms, application-code: 288ms)
 GET /dashboard/pipeline 200 in 124ms (next.js: 38ms, proxy.ts: 9ms, application-code: 77ms)
 GET /dashboard/applications/2646add9-a376-4381-b957-1c441fec890d 200 in 149ms (next.js: 55ms, proxy.ts: 6ms, application-code: 87ms)
 GET /dashboard/pipeline 200 in 190ms (next.js: 21ms, proxy.ts: 18ms, application-code: 151ms)
 GET /dashboard/jobs 200 in 159ms (next.js: 22ms, proxy.ts: 20ms, application-code: 117ms)
 GET /login?callbackUrl=%2Fdashboard%2Fpipeline 200 in 387ms (next.js: 11ms, proxy.ts: 8ms, application-code: 368ms)
 GET /dashboard/jobs/ab9c2763-d21e-47eb-ab12-261deca34118 200 in 2.2s (next.js: 2.1s, proxy.ts: 8ms, application-code: 89ms)
 GET /dashboard/jobs/ab9c2763-d21e-47eb-ab12-261deca34118 200 in 307ms (next.js: 37ms, proxy.ts: 9ms, application-code: 261ms)
 GET /dashboard/pipeline 200 in 89ms (next.js: 14ms, proxy.ts: 9ms, application-code: 67ms)
 GET /dashboard/applications 200 in 86ms (next.js: 14ms, proxy.ts: 8ms, application-code: 64ms)
 GET /dashboard/jobs 200 in 91ms (next.js: 13ms, proxy.ts: 9ms, application-code: 69ms)
 GET /dashboard/jobs/ab9c2763-d21e-47eb-ab12-261deca34118 200 in 109ms (next.js: 33ms, proxy.ts: 7ms, application-code: 70ms)
 GET /login?callbackUrl=%2Fdashboard%2Fjobs%2Fab9c2763-d21e-47eb-ab12-261deca34118 200 in 149ms (next.js: 13ms, proxy.ts: 8ms, application-code: 128ms)
 GET /dashboard/jobs/ab9c2763-d21e-47eb-ab12-261deca34118 200 in 244ms (next.js: 51ms, proxy.ts: 9ms, application-code: 184ms)
 GET /dashboard/pipeline 200 in 173ms (next.js: 20ms, proxy.ts: 69ms, application-code: 84ms)
 GET /dashboard/applications/ab67a4ed-1331-44c4-b283-dde1a585dd46 200 in 103ms (next.js: 32ms, proxy.ts: 5ms, application-code: 65ms)
 GET /dashboard/applications/2646add9-a376-4381-b957-1c441fec890d 200 in 137ms (next.js: 35ms, proxy.ts: 7ms, application-code: 94ms)
 GET /dashboard/jobs 200 in 65ms (next.js: 11ms, proxy.ts: 6ms, application-code: 48ms)
 GET /dashboard/jobs/ab9c2763-d21e-47eb-ab12-261deca34118 200 in 135ms (next.js: 43ms, proxy.ts: 6ms, application-code: 86ms)
 GET /dashboard/applications/ab67a4ed-1331-44c4-b283-dde1a585dd46 200 in 138ms (next.js: 32ms, proxy.ts: 6ms, application-code: 100ms)
 GET /dashboard/jobs 200 in 87ms (next.js: 14ms, proxy.ts: 6ms, application-code: 67ms)
 GET /dashboard/pipeline 200 in 85ms (next.js: 11ms, proxy.ts: 8ms, application-code: 66ms)
 GET /dashboard/applications 200 in 67ms (next.js: 11ms, proxy.ts: 6ms, application-code: 50ms)
 GET /dashboard/pipeline 200 in 67ms (next.js: 9ms, proxy.ts: 6ms, application-code: 51ms)
 GET /dashboard/applications 200 in 104ms (next.js: 11ms, proxy.ts: 9ms, application-code: 84ms)
 GET /dashboard/jobs 200 in 64ms (next.js: 11ms, proxy.ts: 6ms, application-code: 47ms)
 GET /dashboard 200 in 343ms (next.js: 193ms, proxy.ts: 6ms, application-code: 143ms)
 GET /login 200 in 198ms (next.js: 26ms, proxy.ts: 22ms, application-code: 150ms)
 GET /login 200 in 152ms (next.js: 13ms, proxy.ts: 10ms, application-code: 129ms)
 GET /login 200 in 84ms (next.js: 14ms, proxy.ts: 13ms, application-code: 56ms)
 GET /candidate/dashboard 200 in 218ms (next.js: 38ms, proxy.ts: 13ms, application-code: 166ms)
 GET /candidate/applications/ab67a4ed-1331-44c4-b283-dde1a585dd46 200 in 123ms (next.js: 52ms, proxy.ts: 9ms, application-code: 61ms)
 GET /login 200 in 67ms (next.js: 10ms, proxy.ts: 7ms, application-code: 50ms)
 GET /login 200 in 88ms (next.js: 13ms, proxy.ts: 7ms, application-code: 69ms)
 GET /login 200 in 279ms (next.js: 19ms, proxy.ts: 9ms, application-code: 251ms)
 GET /dashboard 200 in 98ms (next.js: 15ms, proxy.ts: 7ms, application-code: 76ms)
 GET /dashboard/jobs 200 in 78ms (next.js: 12ms, proxy.ts: 7ms, application-code: 58ms)
 GET /login 200 in 137ms (next.js: 11ms, proxy.ts: 9ms, application-code: 117ms)
 GET /login 200 in 72ms (next.js: 10ms, proxy.ts: 7ms, application-code: 55ms)
 GET /login 200 in 59ms (next.js: 11ms, proxy.ts: 9ms, application-code: 39ms)
 GET /candidate/dashboard 200 in 92ms (next.js: 13ms, proxy.ts: 9ms, application-code: 69ms)
 GET /jobs 200 in 419ms (next.js: 298ms, proxy.ts: 6ms, application-code: 115ms)
 GET /jobs/front-end-dev-tcs 200 in 297ms (next.js: 207ms, proxy.ts: 6ms, application-code: 84ms)
✓ Compiled in 939ms
 GET /login?callbackUrl=%2Fdashboard%2Fpipeline 200 in 2.8s (next.js: 1394ms, proxy.ts: 30ms, application-code: 1423ms)
 GET /jobs/front-end-dev-tcs 200 in 3.3s (next.js: 2.8s, proxy.ts: 38ms, application-code: 465ms)
 GET /login?callbackUrl=%2Fdashboard%2Fpipeline 200 in 3.6s (next.js: 761ms, proxy.ts: 237ms, application-code: 2.6s)
 GET /jobs/front-end-dev-tcs 200 in 3.6s (next.js: 2.2s, proxy.ts: 243ms, application-code: 1201ms)
✓ Compiled in 614ms
 GET /login?callbackUrl=%2Fdashboard%2Fpipeline 200 in 2.5s (next.js: 389ms, proxy.ts: 260ms, application-code: 1846ms)
 GET /jobs/front-end-dev-tcs 200 in 2.9s (next.js: 1504ms, proxy.ts: 265ms, application-code: 1124ms)
 GET /login?callbackUrl=%2Fdashboard%2Fpipeline 200 in 2.5s (next.js: 993ms, proxy.ts: 172ms, application-code: 1326ms)
 GET /jobs/front-end-dev-tcs 200 in 4.1s (next.js: 580ms, proxy.ts: 21ms, application-code: 3.5s)
 GET /login?callbackUrl=%2Fdashboard%2Fpipeline 200 in 3.6s (next.js: 451ms, proxy.ts: 12ms, application-code: 3.2s)
 GET /login?callbackUrl=%2Fdashboard%2Fpipeline 200 in 3.3s (next.js: 1081ms, proxy.ts: 55ms, application-code: 2.2s)
 GET /login?callbackUrl=%2Fdashboard%2Fpipeline 200 in 3.3s (next.js: 1225ms, proxy.ts: 34ms, application-code: 2.1s)
 GET /login?callbackUrl=%2Fdashboard%2Fpipeline 200 in 3.3s (next.js: 1089ms, proxy.ts: 365ms, application-code: 1862ms)
 GET /login?callbackUrl=%2Fdashboard%2Fpipeline 200 in 3.3s (next.js: 1196ms, proxy.ts: 367ms, application-code: 1756ms)
 GET /jobs/front-end-dev-tcs 200 in 3.3s (next.js: 1373ms, proxy.ts: 434ms, application-code: 1523ms)
 GET /jobs/front-end-dev-tcs 200 in 3.0s (next.js: 1562ms, proxy.ts: 287ms, application-code: 1193ms)
 GET /jobs/front-end-dev-tcs 200 in 2.8s (next.js: 1732ms, proxy.ts: 398ms, application-code: 637ms)
 GET /jobs/front-end-dev-tcs 200 in 2.8s (next.js: 1524ms, proxy.ts: 392ms, application-code: 844ms)
 GET /jobs/front-end-dev-tcs 200 in 2.7s (next.js: 2.0s, proxy.ts: 344ms, application-code: 371ms)
✓ Compiled in 1318ms
 GET /login?callbackUrl=%2Fdashboard%2Fpipeline 200 in 2.9s (next.js: 560ms, proxy.ts: 120ms, application-code: 2.2s)
 GET /jobs/front-end-dev-tcs 200 in 3.1s (next.js: 1883ms, proxy.ts: 47ms, application-code: 1181ms)
 GET /login?callbackUrl=%2Fdashboard%2Fpipeline 200 in 2.2s (next.js: 829ms, proxy.ts: 50ms, application-code: 1358ms)
 GET /login?callbackUrl=%2Fdashboard%2Fpipeline 200 in 1137ms (next.js: 228ms, proxy.ts: 178ms, application-code: 731ms)
 GET /jobs/front-end-dev-tcs 200 in 1448ms (next.js: 499ms, proxy.ts: 145ms, application-code: 804ms)
 GET /jobs/front-end-dev-tcs 200 in 474ms (next.js: 114ms, proxy.ts: 43ms, application-code: 317ms)
 GET /login?callbackUrl=%2Fdashboard%2Fpipeline 200 in 1051ms (next.js: 317ms, proxy.ts: 106ms, application-code: 628ms)
 GET /jobs/front-end-dev-tcs 200 in 1266ms (next.js: 613ms, proxy.ts: 112ms, application-code: 541ms)
 GET /login?callbackUrl=%2Fdashboard%2Fpipeline 200 in 813ms (next.js: 270ms, proxy.ts: 13ms, application-code: 530ms)
 GET /jobs/front-end-dev-tcs 200 in 759ms (next.js: 84ms, proxy.ts: 150ms, application-code: 525ms)
 GET /login?callbackUrl=%2Fdashboard%2Fpipeline 200 in 436ms (next.js: 116ms, proxy.ts: 14ms, application-code: 306ms)
 GET /jobs/front-end-dev-tcs 200 in 423ms (next.js: 39ms, proxy.ts: 170ms, application-code: 215ms)
✓ Compiled in 417ms
 GET /login?callbackUrl=%2Fdashboard%2Fpipeline 200 in 1834ms (next.js: 541ms, proxy.ts: 131ms, application-code: 1162ms)
 GET /jobs/front-end-dev-tcs 200 in 1700ms (next.js: 1381ms, proxy.ts: 73ms, application-code: 245ms)
 GET /jobs 200 in 425ms (next.js: 318ms, proxy.ts: 11ms, application-code: 96ms)
 GET /candidate/dashboard 200 in 341ms (next.js: 251ms, proxy.ts: 11ms, application-code: 79ms)
 GET /candidate/applications/ab67a4ed-1331-44c4-b283-dde1a585dd46 200 in 345ms (next.js: 237ms, proxy.ts: 7ms, application-code: 101ms)
 GET /jobs 200 in 156ms (next.js: 29ms, proxy.ts: 29ms, application-code: 99ms)
 GET /jobs/front-end-dev-tcs 200 in 124ms (next.js: 41ms, proxy.ts: 13ms, application-code: 71ms)
 GET /login?callbackUrl=%2Fcandidate%2Fapplications 200 in 304ms (next.js: 15ms, proxy.ts: 11ms, application-code: 278ms)
 GET /candidate/applications 200 in 1117ms (next.js: 1048ms, proxy.ts: 6ms, application-code: 63ms)
